time_sec,torque_Nm
1.138556957244873,0.07343564927577972
1.9155514240264893,0.023435648530721664
2.8405020236968994,0.07656434923410416
4.035725831985474,0.22656434774398804
4.723455190658569,0.4265643358230591
4.913278818130493,0.4265643358230591
5.072177410125732,0.4265643358230591
5.230651378631592,0.4265643358230591
5.405682325363159,0.4265643358230591
5.57851243019104,0.4265643358230591
6.1594557762146,0.3765643239021301
6.315003395080566,0.3765643239021301
6.895892143249512,0.4265643358230591
7.521762371063232,0.526564359664917
